Unnamed: 0,city,class,mfcc,chroma
10,airplanecrash 1,positive,"[-3.24381919e+02  1.54479520e+02 -4.58542484e+01 -2.43556592e+01
  2.62815396e+01 -4.34978828e+00 -7.57237491e+00  1.13053913e+01
  4.39761548e-01 -1.35044211e+00  1.07090748e+01  3.80790413e+00
 -2.60107160e+00  4.19451822e+00  1.99601416e+00 -3.73999088e+00
 -4.68311760e-01 -5.01593127e-01 -4.38606005e+00 -1.95520890e+00
  6.54499381e-02 -2.84886934e+00 -2.24598184e+00 -3.92670658e-02
 -1.91471008e+00 -1.56826757e+00  8.59917078e-01 -8.03365587e-01
 -1.35326729e+00  1.33370976e+00  9.27455527e-01 -1.68921964e-01
  2.06931210e+00  2.14144996e+00  1.15501002e-01  1.62722055e+00
  2.67407925e+00  3.08800214e-01  2.86501207e-01  1.55630924e+00]","[0.73196701 0.73680507 0.72961027 0.72328866 0.75022696 0.78232294
 0.78323616 0.75265379 0.73442415 0.71588735 0.72554553 0.72973301]"
11,airplanecrash 1,positive,"[-3.27810476e+02  1.63023344e+02 -5.11577795e+01 -2.35640286e+01
  2.51436715e+01 -7.39976985e+00 -6.81014251e+00  1.09970801e+01
 -1.81337093e-01 -1.72922065e+00  8.16529822e+00  2.21664311e+00
 -2.16321821e+00  4.28418959e+00  1.93896027e+00 -3.40369987e+00
 -5.60531729e-01 -2.46926034e-02 -3.00797017e+00 -1.44436429e+00
  1.83490759e-01 -2.48990761e+00 -2.67833552e+00 -3.82735645e-01
 -1.45236623e+00 -1.20107248e+00  9.47013153e-01 -8.48450666e-01
 -1.41232409e+00  1.29478381e+00  7.96284758e-01 -5.39584184e-01
  1.13009704e+00  1.49485951e+00  1.75507127e-01  1.39631941e+00
  2.43887162e+00  6.64240830e-01  3.78191918e-01  1.36823464e+00]","[0.74771898 0.7523874  0.73396592 0.71198651 0.73085541 0.74998649
 0.77510948 0.7427253  0.72058268 0.73879215 0.74530441 0.75151123]"
12,airplanecrash 1,positive,"[-3.11589491e+02  1.49954564e+02 -4.68130142e+01 -2.65827052e+01
  2.57077357e+01 -1.99900818e+00 -6.44944960e+00  1.13986166e+01
  2.56238791e+00  3.22833574e-01  9.32573545e+00  3.10255292e+00
 -1.92711955e+00  3.47073424e+00  1.64889997e+00 -3.17787066e+00
 -1.71005028e+00 -1.84683540e+00 -3.75164045e+00 -1.77664226e+00
 -9.60669909e-01 -3.04480220e+00 -2.11006826e+00 -4.50590139e-01
 -1.81582826e+00 -9.94441534e-01  1.18976121e+00 -4.07887413e-01
 -8.12466358e-01  1.61554909e+00  9.60133038e-01 -5.26528840e-01
  8.79227152e-01  9.41188312e-01 -1.86316211e-01  1.32445835e+00
  2.18046694e+00  6.64074667e-01  1.01662107e+00  2.02342585e+00]","[0.73283375 0.72731982 0.69310559 0.68944216 0.70598843 0.74065197
 0.77400787 0.74513825 0.71059022 0.71613666 0.72314829 0.72826198]"
13,airplanecrash 1,positive,"[-3.18697011e+02  1.70081328e+02 -6.07509899e+01 -2.60311456e+01
  3.17739137e+01 -5.93515858e+00 -7.55896039e+00  1.26227759e+01
  6.52587564e-02 -7.18783471e-01  1.03042364e+01  2.53584801e+00
 -2.37922423e+00  4.05995030e+00  1.03390080e+00 -4.04301058e+00
 -8.95267977e-01 -7.65952135e-01 -4.11224655e+00 -2.35078748e+00
 -7.14278556e-01 -3.18056240e+00 -2.43842047e+00 -6.44916183e-01
 -2.58057192e+00 -1.32565402e+00  1.18990717e+00 -1.05045709e+00
 -9.56408475e-01  2.04873368e+00  5.40198453e-01 -1.11199143e+00
  1.47675453e+00  1.80232173e+00 -4.27215286e-02  1.20735556e+00
  1.79469690e+00  1.01335371e-01  1.00237806e+00  2.02230762e+00]","[0.73032521 0.70576346 0.69471613 0.70806404 0.72731176 0.7487215
 0.76268632 0.73798842 0.7135808  0.72300379 0.7301335  0.72549718]"
14,airplanecrash 1,positive,"[-3.01168113e+02  1.73830065e+02 -5.78977581e+01 -3.28179087e+01
  2.91332995e+01 -7.14502099e+00 -1.39880931e+01  1.07560061e+01
  1.15219540e+00 -4.31850114e+00  7.69784051e+00  3.62706722e+00
 -1.90393614e+00  5.16889383e+00  4.03923001e+00 -2.62481669e+00
 -4.21412433e-01  1.26666505e-01 -4.19648050e+00 -2.42502840e+00
 -2.48178954e-01 -3.73657843e+00 -3.16901446e+00 -1.80995038e-01
 -2.38490183e+00 -2.09767523e+00  1.29328647e+00 -7.17296331e-01
 -2.11654363e+00  1.20742650e+00  9.23906841e-01 -1.17304337e+00
  1.16469281e+00  2.00251941e+00 -4.24668395e-01  7.37501665e-01
  2.08360361e+00 -5.36007893e-01 -2.11509755e-01  2.06870878e+00]","[0.75651561 0.73734213 0.70460713 0.70517163 0.69371295 0.68937707
 0.72914603 0.72365047 0.71195241 0.72781776 0.7436368  0.75885868]"
15,airplanecrash 1,positive,"[-3.20633470e+02  1.83141121e+02 -6.69905919e+01 -3.01246483e+01
  3.56026989e+01 -6.33742413e+00 -1.28802828e+01  1.32181821e+01
  2.95328668e+00 -3.54803984e+00  8.27703251e+00  5.00389103e+00
 -2.48421931e+00  3.05143667e+00  3.43050000e+00 -2.87841050e+00
 -2.14863357e+00 -3.68947005e-01 -3.58295042e+00 -3.30005035e+00
 -4.64082168e-01 -2.17920955e+00 -3.23980058e+00 -1.19444648e+00
 -1.95366382e+00 -2.04097875e+00  4.69984894e-01 -3.02111529e-01
 -1.51159719e+00  1.13565688e+00  1.99037453e+00 -1.74313027e-01
  6.51404366e-01  2.04926956e+00  4.05325956e-01  5.40644913e-01
  1.58630619e+00  8.75096133e-03  8.20646279e-02  1.55075824e+00]","[0.72645595 0.70757824 0.69415083 0.69841924 0.70847889 0.71763852
 0.70349762 0.69423555 0.71006728 0.73052487 0.74026743 0.73152058]"
16,airplanecrash 1,positive,"[-3.15224502e+02  1.49620788e+02 -5.21539647e+01 -2.41379508e+01
  2.94894937e+01 -2.33700350e+00 -2.71153489e+00  1.47548652e+01
 -1.80455462e+00 -2.16611749e+00  1.04838867e+01 -1.11516783e-01
 -4.57812789e+00  6.21081873e+00  2.71323126e+00 -4.76409965e+00
 -1.10248059e+00 -1.46838259e+00 -4.90515177e+00 -1.34780458e+00
 -3.69678071e-01 -3.12603928e+00 -1.33863786e+00 -9.26415590e-01
 -3.13472890e+00 -8.54599625e-02  1.84527516e+00 -1.05079493e+00
  6.77400926e-01  2.94721944e+00 -8.14743301e-01 -8.32594485e-01
  3.10438873e+00  1.39649508e+00 -9.14537733e-02  2.80095737e+00
  1.74823741e+00 -1.18222701e+00  4.97665616e-01  1.41733180e+00]","[0.66507843 0.63732254 0.64636108 0.68075721 0.68957726 0.70017007
 0.74101031 0.71312308 0.67620335 0.65414447 0.66176016 0.71819814]"
17,airplanecrash 1,positive,"[-2.76944705e+02  1.77230159e+02 -6.76240675e+01 -2.83301606e+01
  3.25186113e+01 -7.90544063e+00 -7.34421601e+00  1.13722536e+01
 -9.72242165e+00 -4.98972126e+00  1.54367249e+01  4.94232649e-01
 -8.54828066e+00  6.25717407e+00  2.81830642e+00 -6.08996935e+00
  6.18285794e-01  2.62079502e-01 -5.57157424e+00 -1.41497779e+00
 -1.16141091e+00 -5.51495460e+00 -2.01307384e+00 -1.00969991e+00
 -4.33550339e+00  3.86040776e-01  2.39162780e+00 -2.88391407e+00
 -4.79542025e-01  3.29778514e+00 -1.18555283e+00 -1.06930563e+00
  3.50188064e+00  6.76040375e-01 -1.51755228e+00  2.69653797e+00
  2.09174371e+00 -1.09181750e+00  1.35944450e+00  1.83285478e+00]","[0.62309173 0.60954863 0.62474196 0.6777039  0.73077689 0.74808598
 0.76889692 0.72116202 0.64730181 0.60013729 0.58240138 0.61301464]"
18,airplanecrash 1,positive,"[-3.10020049e+02  1.61265712e+02 -5.63074010e+01 -2.58638211e+01
  2.97031421e+01 -4.79471335e+00 -7.03229811e+00  1.14917709e+01
 -2.11992683e+00 -1.63443375e+00  1.11337857e+01  1.14051647e+00
 -4.65887778e+00  5.30433308e+00  2.23964803e+00 -4.91941851e+00
 -1.36490553e-01  4.75781549e-01 -4.11227852e+00 -1.55774346e+00
 -1.62173223e-01 -3.46315436e+00 -1.88633978e+00  3.49396380e-02
 -2.22451281e+00 -6.97002346e-01  1.47832340e+00 -8.75246264e-01
 -2.64668574e-01  1.99117390e+00 -2.55176589e-01 -7.59361059e-01
  2.16771019e+00  1.20645903e+00 -2.17601390e-01  2.33321457e+00
  2.23309734e+00 -1.62042876e-01  1.10783751e+00  1.67376422e+00]","[0.6855662  0.66848525 0.68577949 0.69056284 0.71280269 0.74107289
 0.78000442 0.75573334 0.71070763 0.70419545 0.70080942 0.70520021]"
19,airplanecrash 1,positive,"[-2.86390443e+02  1.71770636e+02 -5.80121937e+01 -3.59067735e+01
  2.78379623e+01 -3.77161188e+00 -1.43555878e+01  9.37338240e+00
  4.49217819e+00 -3.32786400e+00  6.02517553e+00  5.01767164e+00
 -1.59609439e+00  2.67034290e+00  3.11472258e+00 -2.79160531e+00
 -2.26339889e+00 -9.30370247e-02 -2.55009594e+00 -2.94266437e+00
 -1.28303937e+00 -2.29229108e+00 -2.12386331e+00 -3.27978985e-01
 -1.39600247e+00 -1.44589838e+00  8.05615139e-01  2.71199268e-02
 -1.35038018e+00  6.76968736e-01  1.27569086e+00 -8.26251644e-01
  5.39475773e-02  1.35732062e+00 -6.30033651e-01 -3.84524791e-01
  1.64815259e+00  4.44616566e-01  5.38636976e-01  2.92151304e+00]","[0.70941433 0.6990286  0.64809082 0.64510147 0.63903264 0.66172656
 0.65217481 0.66388623 0.68587319 0.68309907 0.68751465 0.6918908 ]"
