,city,class,mfcc,chroma
10,pittsburg 1,negative,"[-2.33253495e+02  1.22314908e+02 -9.30991136e+01 -3.34916565e+01
  1.04833855e+01 -2.67011350e+01 -1.39410496e+01  6.06305975e+00
 -9.29351013e+00  6.31163986e-01  1.36001394e+01 -1.16845118e+00
 -4.16821244e-02  1.68712822e+01  8.28781663e+00 -1.76868474e+00
  8.03873408e+00  9.51130022e+00 -4.18197503e-02 -2.96747620e-01
  3.56328297e+00  4.09421964e-01 -3.47583818e+00 -4.16941209e+00
 -3.43475100e+00 -2.99400980e+00 -6.96541926e+00 -8.71679941e+00
 -5.37219825e+00 -7.02596001e+00 -1.03141486e+01 -8.63728234e+00
 -6.79760189e+00 -7.44182041e+00 -9.74320299e+00 -9.75907386e+00
 -5.64535295e+00 -4.41126450e+00 -5.71051723e+00 -1.73367337e+00]","[0.63383531 0.51917632 0.55620284 0.6224097  0.67591819 0.69915063
 0.7040059  0.64471374 0.62680215 0.69189049 0.65282876 0.68930593]"
11,pittsburg 1,negative,"[-2.86231033e+02  1.06003656e+02 -6.61958768e+01 -1.84320675e+01
  1.18721330e+01 -1.88635773e+01 -6.39208184e+00  5.51574399e+00
 -5.56082525e+00  8.38862047e-01  6.11568786e+00 -4.71149349e-01
  2.07708913e+00  8.24523133e+00  4.04826417e+00  6.60914127e-01
  3.50308055e+00  2.38783518e+00 -1.05715143e+00 -4.65777804e-02
  1.18247056e+00 -1.17887066e+00 -2.82040092e+00 -2.89240633e+00
 -2.56668963e+00 -7.61332860e-01 -1.71491429e+00 -3.19075469e+00
 -6.67914393e-01 -1.68552252e+00 -5.27868568e+00 -3.41739898e+00
 -7.45147533e-01 -1.37800172e+00 -2.82629975e+00 -2.22505917e+00
 -8.29882713e-01 -2.74028296e+00 -3.89768414e+00 -8.54518965e-01]","[0.74536345 0.61571405 0.63539687 0.65584096 0.65176844 0.646445
 0.69103299 0.66658476 0.65511273 0.70140686 0.70428277 0.80786832]"
12,pittsburg 1,negative,"[-3.32268759e+02  8.66146378e+01 -4.52965671e+01 -1.32063165e+01
  1.32876076e+01 -1.15046911e+01 -6.33918476e+00  6.90474902e+00
 -1.01306801e+00 -6.68009091e-01  3.83181581e+00 -1.47973916e+00
 -8.33269249e-01  5.46482285e+00  1.52285350e+00 -2.54704788e+00
  5.33462074e-01 -8.42450336e-01 -4.37562978e+00 -1.27984986e+00
  1.84391441e+00 -1.53720816e+00 -4.04616078e+00 -2.57975960e+00
 -2.09153846e+00 -4.27697060e-01  5.67931382e-01 -1.68794213e-01
  2.76297487e+00  2.81768940e+00 -1.58707374e+00 -3.02106136e-01
  3.54098793e+00  2.85592856e+00  6.63313406e-01  1.54550867e+00
  2.71493990e+00 -6.20724636e-01 -1.80705354e+00  2.04396962e+00]","[0.72283337 0.54072923 0.54075539 0.56542491 0.56215216 0.56628952
 0.64664524 0.58945763 0.53975868 0.61408499 0.62398391 0.81014082]"
13,pittsburg 1,negative,"[-499.11321828   46.26125325   -6.52922674    8.22528252    4.50148364
    2.34717947    7.83267711   10.40872496   16.48837453    9.60582331
    2.41213867    1.26759448    2.72932741    5.78339069    3.33747965
    6.93894759    6.1025828    -4.8773291    -2.85875135   10.31194865
   13.12667878   -0.82350381   -3.58616902    4.01456087   -2.067637
    1.13382616    6.55565588    1.37876806    6.99378664    2.95806748
   -7.86430433   -1.21970343    4.46748362    3.94667777    1.78141511
    1.81123393    2.81379104   -4.2593931    -2.81020808    5.1429671 ]","[0.58537578 0.5060339  0.45305204 0.50305826 0.46962451 0.51928818
 0.68254269 0.48621982 0.39543921 0.40576382 0.54080276 0.98416432]"
14,pittsburg 1,negative,"[-3.34278996e+02  8.68729541e+01 -6.29731485e+01 -1.54744581e+01
  8.94518487e+00 -1.77740294e+01 -4.80909473e+00  6.68183040e+00
 -2.53633497e+00  4.42121801e+00  8.69731639e+00 -7.30910338e-01
  2.82283395e+00  1.27696787e+01  5.77899086e+00  1.65770827e+00
  8.13573459e+00  5.02029287e+00 -4.12364879e-01  4.51816314e+00
  6.63098501e+00  8.22071416e-01 -1.18383547e+00 -5.53626100e-01
 -2.04410973e+00  3.66038293e-01 -8.56384049e-01 -3.49216562e+00
  1.01562540e+00 -1.89940742e+00 -8.01695355e+00 -4.38680799e+00
 -2.01987473e+00 -3.04593392e+00 -4.13694449e+00 -4.57612669e+00
 -2.15264415e+00 -3.93858485e+00 -5.50707795e+00  2.35278281e-01]","[0.68176328 0.52156846 0.52681603 0.57783286 0.60178295 0.61502113
 0.71433996 0.64637991 0.55095394 0.54318935 0.58382774 0.82312875]"
15,pittsburg 1,negative,"[-4.87314700e+02  5.25144609e+01 -1.56079334e+01  5.03716693e+00
  4.62631052e+00 -1.64927326e+00  5.75290273e+00  9.71127307e+00
  1.31453331e+01  8.72503118e+00  4.59817935e+00  9.43621996e-01
  1.77731901e+00  6.49164710e+00  3.07212360e+00  5.99856669e+00
  5.90173287e+00 -3.98190633e+00 -1.51354779e+00  9.68984162e+00
  1.21489601e+01 -9.34391851e-02 -2.73757280e+00  4.62057306e+00
 -1.33209567e+00  2.16968178e+00  7.01274095e+00  5.44510436e-01
  6.64663962e+00  3.43651773e+00 -6.43056844e+00  4.93207200e-01
  3.88831459e+00  3.52383910e+00  2.48517352e+00  9.43859940e-01
  2.53307982e+00 -3.39152279e+00 -2.82518988e+00  4.85211507e+00]","[0.61560743 0.53915746 0.50437369 0.57090567 0.53609037 0.5771501
 0.72248214 0.53022554 0.43395172 0.44637902 0.56467609 0.94939789]"
16,pittsburg 1,negative,"[-3.34413233e+02  6.95479777e+01 -6.29437576e+01 -1.19975950e+01
  1.78341522e+00 -1.86429635e+01 -2.32552206e+00 -2.06716514e-01
 -2.70105083e+00  3.65982841e+00  1.95400312e+00  1.43252677e+00
  3.86187189e+00  6.50063380e+00  6.09148222e+00  4.12162963e+00
  5.83412727e+00  5.74238934e+00  3.57520686e+00  5.70672281e+00
  7.13381617e+00  4.31127559e+00  2.88809915e+00  2.64364254e+00
  2.08800378e+00  3.66726295e+00  2.79339867e+00  1.89299078e+00
  4.05273790e+00  1.80818249e+00 -1.14397437e+00  4.31986517e-01
  1.85927176e+00  1.90733080e+00  1.12497406e+00  1.08942528e-01
  1.26985323e-01 -1.34730037e+00 -2.14936571e+00  5.32019147e-01]","[0.6391108  0.62359603 0.65104953 0.67243083 0.6562625  0.70890417
 0.74452973 0.62588015 0.57686446 0.60767065 0.74001247 0.84843753]"
17,pittsburg 1,negative,"[-2.89333498e+02  8.84915780e+01 -7.66874675e+01 -1.87139931e+01
  1.19838149e+00 -2.70642688e+01 -9.28727643e+00 -2.47098482e+00
 -7.85995257e+00  8.70397955e-01  3.37170104e+00  2.17286597e-01
  3.93962280e+00  9.82028050e+00  7.01239834e+00  4.94499198e+00
  8.36592154e+00  7.53197208e+00  5.15700935e+00  6.48135226e+00
  7.00348884e+00  4.53207888e+00  2.86619486e+00  3.05675795e+00
  2.96693539e+00  3.97518943e+00  3.06662056e+00  1.48193125e+00
  3.83049332e+00  2.31302142e+00 -1.25260430e+00  3.36458483e-01
  1.67075293e+00  1.17403857e+00  1.32153628e-01 -7.45957852e-01
  2.98090111e-01 -1.40361318e+00 -3.24333709e+00 -2.07909083e-01]","[0.668924   0.6130864  0.62353298 0.64547929 0.6368467  0.65571871
 0.7493928  0.68674184 0.60840717 0.60431521 0.64658749 0.81467741]"
18,pittsburg 1,negative,"[-266.82104607  120.17390523  -82.92449657  -29.65200519   11.92046285
  -25.01702751  -13.81736047    4.86815495   -5.93668753    0.48217078
    9.65464128    1.8834068     3.01671415   13.30313526    9.1334907
    2.34858582    7.44308365    9.24756939    2.51934078    1.27339686
    4.6075039     1.7931375    -2.70492262   -3.40819555   -2.95504531
   -3.04880338   -6.08133267   -8.25211029   -4.92543152   -5.18709481
   -9.83688824   -9.26813479   -5.74940669   -6.31098399   -9.05765861
   -7.68663178   -4.5471422    -6.37486012   -7.73171513   -3.26867502]","[0.73478546 0.5706357  0.62457265 0.68235777 0.69564796 0.67771544
 0.69154714 0.67051338 0.63553037 0.67209893 0.69319403 0.75963086]"
19,pittsburg 1,negative,"[-333.38243363   92.20733994  -57.3413413   -16.25005846   11.86373814
  -15.90460605   -6.49493305    6.42181954   -1.68718639    1.76843776
    6.64742993    0.60859702    2.84934458   10.56808989    6.88118738
    3.80962513    6.63002457    5.13575214    2.02238011    3.44187296
    5.31584894    1.78493848   -2.14056516   -2.31407773   -2.24854646
   -1.28034195   -2.99345803   -4.97733928   -2.1585472    -4.13593097
   -8.66392539   -6.62223021   -3.57211132   -3.36653063   -4.87524321
   -4.50626667   -2.53791967   -5.27256588   -6.46959767   -1.42779038]","[0.57852265 0.59921457 0.62166285 0.62622086 0.619178   0.66884203
 0.69421297 0.60331189 0.5874407  0.61315853 0.72868616 0.82710527]"
